t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.48523460000000684,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4390099000000248,0,0,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4375419000000079,0,0,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4745622000000026,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.42944310000000885,0,0,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.45550149999999123,0,0,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4771033999999986,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.43339940000000754,0,0,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5277841000000137,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5189870999999983,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4957343999999978,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.49761270000001334,1,1,118,200110_143600,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.49759940000000713,1,1,118,200110_143600,1
