t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,-1,-1,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,-1,-1,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,-1,-1,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,-0.5445817999999946,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.8022843000000052,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.7123939999999976,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.7032412999999963,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.6973836999999975,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.542891199999994,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.677532700000009,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.688341200000005,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.5759154000000081,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.5381535000000014,0,0,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.7498933999999992,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.7373599000000098,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.7327175000000011,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.706787700000001,1,1,116,191121_162023,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,0,0,0,0.728507099999996,1,1,116,191121_162023,0
