t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.5609717000000046,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7312242000000083,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7143235000000004,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6626221000000015,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7212642000000017,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6504936999999927,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6559803000000045,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6401610000000005,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7605151000000007,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6925975999999935,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6459248000000116,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6958014999999961,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.659266199999999,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6309294999999878,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6023902000000106,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6726112999999941,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6421755000000019,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7095315999999997,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6514136000000065,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7214834999999994,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6546652999999992,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.576168699999991,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7189483000000024,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6867073999999974,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6757165999999956,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6818769000000003,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6485326000000043,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6284233000000029,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6907376,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6968364000000037,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6465143000000012,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6790969999999789,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6476512000000071,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6677649999999972,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6965446000000043,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7001789999999858,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6744706999999949,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7529776000000027,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6542583000000036,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6935092000000168,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6207500000000096,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6883506000000011,0,0,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6957862000000091,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7117836999999781,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6964022999999827,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.7514598000000149,1,1,104,191111_105549,0
0.75,0.4,-0.3,0.5,0.1,0.5,0.06,0.5,1,0,0,0,0.6925188999999762,1,1,104,191111_105549,0
