t_prep,initial,final
0.5,1,1
0.5,1,0
0.5,1,1
0.5,1,0
0.5,1,1
0.5,1,0
0.5,1,1
0.2333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.4167,1,0
0.25,1,0
0.5,1,1
0.1833,1,0
0.3167,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.15,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.2833,1,0
0.5,1,1
0.3667,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.3,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.2667,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.0667,1,0
0.5,1,1
0.5,1,1
0.3333,1,0
0.5,1,1
0.0833,1,0
0.2167,1,0
0.5,1,1
0.5,1,1
0.1167,1,0
0.5,1,1
0.1667,1,0
0.2667,1,0
0.2667,1,0
0.1833,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.4167,1,0
0.5,1,1
0.15,1,0
0.25,1,0
0.1833,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.2833,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.1333,1,0
0.5,1,1
0.5,1,1
0.3333,1,0
0.25,1,0
0.1333,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.1167,1,0
0.433,1,0
0.5,1,1
0.2,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.3167,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.3,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.3,1,0
