t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.49719660000000376,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.47641160000000016,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5663558999999992,0,0,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.4805567000000025,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5093115999999981,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.4108553000000029,0,0,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5087279999999993,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.4897030999999942,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.396678199999991,0,0,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5211748999999998,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5023963000000095,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5117719000000079,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5047582999999861,1,1,105,191111_115950,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,1,1,1,0,0.5074767000000066,1,1,105,191111_115950,1
